Rank	Frequency	UUID	Row Text
43	22	1b3f-b617-d7ef-1815	a kind of something is an example of that something
44	22	81b7-0a58-5b0b-0bbf	water is a kind of substance
45	22	80de-489f-48b2-16f4	an animal ; living thing requires nutrients for survival
46	22	0439-8c06-da63-6721	metal is a thermal ; thermal energy conductor
47	21	f03c-decc-030f-b860	freezing means changing from a liquid into a solid by reducing heat energy
48	21	7d29-0a2c-6959-b1dd	an animal needs to eat food for nutrients
49	21	679c-fab2-a001-db1e	to be used for something means to help to do that something
50	21	1b31-08ba-2a30-8dd0	to be used for something means to be required by that something
51	21	80f0-202c-0427-9ddc	make means produce
52	20	f4d3-fd82-31d1-855c	to cause means to result in
53	20	791e-1c71-7a1d-d10a	weathering means breaking down rocks ; surface materials from larger whole into smaller pieces by weather
54	20	466a-2c15-ac54-8361	an ocean is a kind of body of water
55	19	7ef3-7d2a-dd0a-7953	to add means to increase
56	19	5650-b213-46ea-d9dd	a ball is a kind of object
57	19	ecf3-617e-32df-416b	a leaf is a part of a green plant
58	19	c9e0-141e-88fa-2c43	if a thermal conductor ; an object is exposed to a source of heat then that conductor ; that object may become hot ; warm
59	19	9469-8559-7f35-1bbd	heating means adding heat
60	18	3f9d-8b3a-54b5-6a3c	a body of water is a kind of environment
61	18	c6ad-76f9-7f5c-33e0	camouflage is a kind of adaptation for hiding in an environment
62	18	1112-d2ae-a1f5-ffb6	trait is synonymous with characteristic
63	18	d681-3158-6a99-253a	conductivity is a property of a material ; substance
64	17	694b-d9ec-8c65-5a6a	green plants provide food for themselves ; animals ; consumers by performing photosynthesis
65	17	633c-3fd4-7320-00cf	winter is a kind of season
66	17	7c8b-3728-1d36-f922	a rock is a kind of object
67	17	fb00-41ad-f198-b5ac	predators eat prey
68	16	56bd-8c40-3dae-d3e9	an insect is a kind of animal
69	16	6a6c-3183-436e-898b	killing means harming something causing death
70	16	d0e2-806e-adad-7e98	a positive impact is a benefit
71	16	2f86-693e-7175-9932	fur is often part of an animal
72	16	c1d3-4ab4-b443-aac3	an environment is similar to an ecosystem
73	16	a538-175f-9223-d117	the sun is a source of light ; light energy called sunlight
74	16	782a-53e7-c1c7-aae0	an increase is a kind of change
75	16	53d0-8110-c683-52da	high is similar to increase
76	16	044f-98c1-07d1-2e57	an energy source is a kind of resource
77	16	580f-1d81-36b1-adb3	less is similar to decrease
78	16	1ed3-919d-4a4c-1be7	the sun is the source of solar energy called sunlight
79	16	d116-6f25-b3ac-7d88	pollution has a negative impact on the environment ; air quality
80	16	ece8-8e35-fc83-f487	An example of camouflage is when something is ; has the same color as its environment
81	16	9e7d-986e-6af1-5ac1	heat is a kind of energy
82	16	49dc-4526-46f9-5b32	sunlight is a kind of light
83	16	f0e5-d444-871d-9ea3	decomposition is when a decomposer breaks down dead organisms
84	15	9773-5df7-84db-74b3	gravity ; gravitational force causes objects that have mass ; substances to be pulled down ; to fall on a planet
85	15	44d7-fef6-90ef-75aa	a rabbit is a kind of animal
86	15	e15b-3e85-4d7a-42ea	microscope is used to see small things ; microscopic things ; specimens by making them appear bigger
87	15	619e-a5d1-b505-4f69	a plant requires sunlight for photosynthesis
88	15	d662-f8eb-acab-099f	if a living thing becomes too cold then that living thing will die
89	15	23bf-e586-9387-c883	metal is an electrical ; electrical energy conductor
90	15	ae86-c631-e4ad-1669	heat energy is synonymous with thermal energy
91	14	f812-4338-e44b-e685	green plants are a kind of producer
92	14	59d6-9954-ef5e-12b2	sunlight is a kind of solar energy
93	14	010a-f960-ad4b-537c	if one surface ; one substance ; one object touches something then one is exposed to that something
94	14	9554-47d7-c095-1df7	if an object ; a substance absorbs solar energy then that object ; that substance will increase in temperature
95	14	2460-c937-4e53-293a	if the environmental temperature ; air temperature is too cold then an animal ; a living thing in that environment may become cold
96	14	02f0-b4ba-41d8-0483	rocks ; soil ; materials interacting with wind ; moving water over long periods of time causes weathering
97	14	214a-9ca3-2983-aa79	rain is a kind of water
98	14	12d9-60df-23de-f00f	decomposition is when a decomposer recycles ; returns nutrients from dead organisms to the soil by eating those dead organisms
99	14	80a3-454d-e8e0-3de2	objects are made of materials ; substances ; matter
100	14	8958-fc28-d9ce-a1d6	a leaf performs photosynthesis ; gas exchange
101	14	bf2f-e380-be4e-ca06	requiring is similar to needing help
102	14	a4f8-5748-0846-cb45	In the food chain process an animal has the role of consumer which eats producers ; other animals for food
103	13	8b85-9aff-8362-b0d3	impact means effect
104	13	d42a-e547-fdf9-9c35	a flower is a part of a plant for attracting pollinators ; producing seeds
105	13	4849-d977-c75a-e8fb	solar energy is a kind of energy
106	13	1c04-5228-7c5d-ab8a	water is a kind of natural resource
107	13	0308-b556-3182-b793	converting is similar to producing
108	13	a3c3-47f1-32ba-5c7f	the sun transfers solar energy ; light energy ; heat energy from itself to the planets ; Earth through sunlight
109	13	1272-6781-b4fb-96ab	weathering is a kind of erosion
110	13	93b8-fdb5-f003-dedb	In the photosynthesis process carbon dioxide ; water ; sunlight has the role of raw material
111	13	4201-f5ef-6bd3-f5b4	light means light energy
112	13	a955-8642-4044-5a48	pot ; pan ; frying pan is made of metal for cooking
113	13	8346-8315-1f24-a5be	a thermometer is used to measure temperature
114	13	d7c1-cdfd-2de5-6b7d	plants absorb nutrients ; water ; oxygen from soil into themselves through their roots
115	13	102a-fa79-43cd-e9a4	the colors of the parts of an organism are inherited characteristics
116	13	fc75-dfcd-e46e-e318	determining often requires measuring ; observing
117	12	e00a-03fe-d978-1a27	if an object ; something is in the sunlight then that object ; that something will absorb solar energy
118	12	965d-4d8b-7777-6434	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past
119	12	3a9b-81b5-1a3a-40a0	cooling ; colder means removing ; reducing ; decreasing heat ; temperature
120	12	a94e-e849-c066-fecd	a fish is a kind of aquatic animal
121	12	f3ed-dedc-2aad-109c	a plants ; living things require water for survival ; to grow
122	12	e2ec-1655-c1fd-cb58	a moon is a kind of celestial object ; body
123	12	a7ea-1134-ae5c-b085	ice wedging is when ice causes rocks to crack by expanding in openings
124	12	085c-28bf-bb51-79e6	a plant ; living thing requires nutrients to grow
125	12	178a-9dd1-8569-86f1	a magnet attracts magnetic metals ; ferromagnetic metals through magnetism
126	12	1296-2edb-a443-10d1	a thermometer is a kind of instrument for measuring temperature
127	12	3d19-51ab-7f0c-7a14	observe means see
128	12	a8e1-376d-a65c-d56c	to help ; to benefit means to be of use
129	12	5c76-a005-e9c2-354a	a balance is used for measuring mass ; weight of an object ; of a substance
130	11	b80f-f372-967d-6ac4	an aquatic animal is a kind of animal
131	11	5e75-4bbb-dae0-311f	soil erosion means soil loss through wind ; water ; animals
132	11	3650-2d8d-42b9-299b	nonliving ; non-living ; die is the opposite of living ; alive ; live
133	11	732f-cb0b-50b4-ad0d	animals ; living things require water for survival
134	11	ac2a-9f55-aeab-2917	to conduct is similar to to transfer
135	11	b5d1-0f14-f32e-c6b4	a forest is a kind of environment
136	11	9885-6337-f26c-cfbd	a river is a kind of flowing body of water
137	11	fa62-7076-3a48-59e3	sugar is a kind of simple carbohydrate
138	11	5753-2812-04c2-af70	food is a source of energy for animals ; plants
139	11	4730-e0f3-6d20-0e0e	cycles of freezing and thawing water cause ice wedging
140	11	2125-ab14-605b-2b8c	aquatic animals ; plants live in bodies of water
141	11	fad5-a6d6-cfd6-b9ed	a balance is a kind of instrument for measuring mass ; measuring weight
142	11	f7a7-6ffc-be3e-d21d	organisms are a part of an environment
143	11	2f53-db43-c6e9-95bc	greater means higher ; more in value
144	11	dbe8-e776-f804-99a0	a star is a kind of celestial object ; celestial body
145	11	e682-f47d-cc9c-a67c	a complete revolution of the Earth around the sun takes 1 ; one year ; solar year ; Earth year
146	11	7dc9-24ac-4c93-866e	to impact means to affect
147	11	3dd5-2225-75cc-e350	revolving around something means orbiting that something
148	11	3ed8-5fde-3b7b-6513	a student is a kind of human
149	11	0584-393a-7b86-9c70	electric devices require electrical energy to function
150	11	3b7f-815d-511b-c7bb	a process is a kind of event
151	11	512a-c5ef-bcba-905d	friction acts to counter the motion of two objects when their surfaces are touching
152	11	4a3e-9dc2-ab24-8562	snow is white in color
153	11	3d76-6d66-4a17-7ae2	a structure of something is synonymous with a part of that something
154	11	ac8a-77b3-7190-7751	camouflage is used for protection ; hiding by prey ; animals against predators ; from predators
155	11	de4c-ca36-c336-540f	iron is a kind of metal
156	11	d59b-bac8-e191-05be	a stove generates heat for cooking usually
157	10	d06e-6c86-abe9-f3d5	mass ; weight is a property of matter ; objects ; materials
158	10	842e-1407-d27c-3e94	greatest means largest ; highest ; most
159	10	4383-694e-b4d4-cd5d	a telescope is used for observing stars ; planets ; moons ; distant objects ; the sky ; celestial objects
160	10	1800-f69c-1283-7d49	habitat is similar to environment
161	10	a52a-1b59-1f8c-028e	flowing is a kind of motion
162	10	624a-c1ec-8c85-45ce	amount is a property of something and includes ordered values of none ; least ; little ; some ; half ; much ; many ; most ; all
163	10	ad2f-c1c6-5368-4fcd	coloration is a kind of adaptation for hiding ; camouflage
164	10	3492-2519-a7cc-d552	drought means available water decreases in an environment
165	10	4c93-e1e3-546a-8cfa	soil erosion is when wind ; moving water ; gravity move soil from fields ; environments
166	10	b7ab-4872-8563-4b31	to cause the formation of means to form
167	10	f346-e8eb-6338-4e34	the decrease of something required by an organism has a negative impact on that organism 's survival
168	10	281b-9541-e1c7-6c92	crops are a kind of edible plant for eating
169	10	0ddf-dd31-cd78-80b4	if an organism eats something then that something is a source of frood to that organism
170	10	28d0-868d-1eee-0150	a microscope is a kind of tool for observing small things
171	10	d247-b029-3aab-0950	the sun is a source of radiation ; heat called sunlight
172	10	2851-a2b0-f5df-dae7	if something is a raw material in a process then that something is required for that process
173	10	f59c-9a1b-f57b-d689	an animal requires oxygen for survival ; to breathe
174	10	0696-4d28-5530-2f95	a climate is synonymous with an environment
175	10	c273-104b-3c47-f637	to give off means to be the source of
176	10	0a51-236d-27b4-abc4	An example of camouflage is when something changes color in order to have the same color as its environment
177	10	9493-f99f-c366-f5bc	an insulator is the opposite of a conductor
178	10	f7e9-c6f8-892b-3496	liquid is a kind of state of matter
179	10	0f0d-2cc5-fcc1-3c1f	chemical reactions cause chemical change
180	10	a1a9-97db-a771-1c2b	an ice cube is a kind of solid
181	10	cf2a-6257-0c5c-7445	cold means low in temperature
182	10	1ad3-28d4-f347-46a4	inherited characteristics are the opposite of learned characteristics ; acquired characteristics
183	10	a908-944e-04aa-71bc	plants are a source of oxygen through photosynthesis
184	10	6650-9806-5c50-ff4e	counter means reduce ; stop ; resist
185	10	160e-6da0-3cc4-1b3d	take in means absorb
186	10	3dcc-05e2-48cc-db62	a thermal energy conductor transfers heat from warmer objects ; hotter objects to cooler objects
187	10	3f3f-f2cb-ae3d-f238	summer is a kind of season
188	10	cf64-935e-ea78-35a4	vibrating matter can produce sound
189	10	6cdd-9626-9859-7279	roots are a part of a plant ; tree
190	10	c12d-b29a-5073-54ab	if something is outside during the day then that something will receive sunlight
191	10	3dad-38fc-471b-0aed	high quality ; rich ; good soil has a high number of nutrients
192	10	cf49-1b7a-89f0-41f5	solid is a kind of state of matter
193	10	9526-aecc-22b2-4b6a	a fish is a kind of animal
194	10	acf6-d100-2553-e4ac	to provide something means to be the source of that something
195	10	5c52-4f26-3883-a4ef	color is a property of an object ; a material
196	10	a54a-a04c-71eb-ba0a	a forest contains plants ; trees
ERROR Could not find UID good (returning empty table row)			
197	10	good	
198	9	4d0b-497e-6a7f-bfca	being on something ; placed in something ; placed over something means touching that something
199	9	9ff8-543c-2f35-5d3f	hot means high in heat energy ; temperature
200	9	7d37-b81d-0cf3-9ae0	adding heat means increasing temperature
201	9	4842-3518-d7ab-f670	eating ; taking in food is used to get nutrients ; energy by animals ; living things
202	9	f4dc-5030-6255-a1f8	humans changing ecosystems ; environments usually has a negative impact on an ecosystem ; organisms living in an ecosystem
203	9	c963-24b2-f50d-a21d	a dog is a kind of animal
204	9	ddcc-3b71-b14e-97d1	soil contains nutrients for plants
205	9	fc64-bcd7-4282-619e	good means positive
206	9	e864-93bd-18ea-8a13	brown is a kind of color
207	9	e715-7f30-5489-dad1	becoming is similar to changing
208	9	f5c3-d141-1a8b-80c9	solar energy is a renewable resource
209	9	a6d3-031b-6398-c30e	iron is always magnetic
210	9	d390-3d50-786d-4e9f	decreasing something negative has a positive impact on a thing
211	9	19da-4665-c208-b9ae	hiding is a kind of protection against predators ; from predators
212	9	66df-2200-f730-17c3	Earth 's tilt on its axis causes seasons to change ; to occur
213	9	17e7-deeb-44f0-1758	fewer means lower ; less in number
214	9	828a-1af1-a7bd-61e8	gravity causes orbits
215	9	e0eb-f67a-6f99-b25b	eyes are usually part of an animal for seeing
216	9	4dc5-13bf-3c46-af74	fire causes burning
217	9	2a1f-7883-c269-3736	a mammal is a kind of animal
218	9	5554-6d9d-779d-d5f5	dry means low in amount of water ; wetness ; moisture
219	9	26cb-7582-a17c-a0d6	friction causes the temperature of an object to increase
220	9	2aba-39fa-3a07-5ee4	condensing means changing from a gas into a liquid by reducing heat energy
221	9	33f0-39de-0983-aad8	the properties of something are used for describing that something
222	9	856a-1ef6-dd1f-154b	skills are learned characteristics
223	9	b525-3c38-249c-23da	ice wedging is a kind of mechanical weathering
224	9	95de-5e9c-79e0-c861	most canyons are formed by flowing rivers through erosion over long periods of time
225	9	20e2-689d-b7c6-528a	best means most positive
226	9	5e5f-d2d7-bb79-193c	survive means live
227	9	22ce-038b-ff4f-c5ba	electrical conduction is when metals ; electrical conductors conduct electricity through a wire ; electrical conductor ; metal
228	9	11c8-fdbb-e0de-c7b7	soil erosion is a kind of slow ; natural process
229	9	f42f-c815-0b10-13ce	thick fur ; thick feathers can be used for keeping warm
230	9	04a3-0791-9bd3-602d	thermal conduction is when materials conduct heat through those materials
231	9	7ef1-c28b-22e3-3edc	ice is a kind of solid
232	9	7747-5d53-fc0d-16f3	keeping warm is the opposite of becoming cold
233	9	d326-a597-1e70-347e	an object is an item
234	8	5e35-243f-81ab-5eef	to receive sunlight means to absorb sunlight
235	8	3547-7689-fb87-ee96	pollution is when humans pollute the environment with pollutants
236	8	de41-df04-573b-7370	a behavior is a kind of characteristic
237	8	c1de-b3ef-e1c4-0087	a car is a kind of vehicle
238	8	458c-0ba5-e5dd-00b8	harming an animal species causes that animal 's population to decrease
239	8	d861-52a2-6067-0722	blending in is synonymous with hiding
240	8	2e43-6a8c-1231-65f1	dead organisms decay
241	8	f2e4-3457-4480-2a9e	magnifying glass is used to see small things by making objects appear bigger
242	8	da68-3173-2681-d90e	a source of something increases the amount of that something
243	8	dae9-2ad1-04de-57b4	to slow ; to slow down decreases speed
244	8	0da1-2296-dfe8-6873	wind is a renewable resource
245	8	4ffd-30e8-918c-9a42	safety goggles are used for protecting the eyes during experiments
246	8	8ece-a376-c847-9127	a predator is a kind of animal
247	8	da1e-dca3-f46a-5189	rain is a kind of precipitation
248	8	3e2e-e065-36c0-898c	the function of something is what that something is used to do
249	8	39b9-9637-538d-0d33	camouflage is a kind of protection against predators ; from predators ; against consumers
250	8	8b56-35cc-d534-8cad	larger means greater ; higher ; more in size
251	8	3313-e8a9-cf21-6a33	if an animal 's fur is a color then that animal is that color
252	8	8f3b-ed0c-5dae-f30e	wood is an electrical ; electrical energy ; thermal energy insulator
253	8	1763-9f64-7941-cb50	eye color is an inherited characteristic
254	8	8661-5700-67ef-4ac8	the properties of something can be used to identify ; used to describe that something
255	8	72b4-027a-430e-ee18	if fossils of a water animal or plant are found in a place then that animal or plant used to live in that place
256	8	9cea-7fba-e1c5-f8b3	copper is a kind of metal
257	8	54f0-f2ea-baa5-7a2f	if an animal 's ; organisms habitat no longer exists ; ceases to exist then that animal ; that organism will die
258	8	e9e1-2164-9acf-637a	farming is when a human plants crops for food
259	8	72a6-1822-575b-e849	to convert means to change
260	8	5639-8136-4788-3ee6	a bear is a kind of animal
261	8	f178-8a67-81c1-e3fb	cutting down trees has a negative impact on an ecosystem ; organisms living in an ecosystem
262	8	89bb-1727-975b-849d	plastic is usually an electrical insulator
263	8	4e12-62f2-0830-d602	the Sun is the star that is closest to Earth
264	8	7959-4428-d766-0494	a planet rotating causes cycles of day and night on that planet
265	8	ec67-fb28-a332-b260	coloration means a pattern of colors
266	8	e9ed-3032-6736-3077	friction occurs when two object 's surfaces move against each other
267	8	f3f5-fefd-3507-4a59	death means to die
268	8	55a5-70f3-961c-a142	a telescope is a kind of instrument for observing celestial objects ; observing the sky
269	8	b605-9c58-598d-817e	characteristic means property
270	8	395b-4954-311f-4749	the Earth rotates on its axis on its axis
271	8	5830-0226-d5ec-1248	to be required means to be necessary
272	8	18f3-bb02-623d-b420	fossil fuels ; fossils are formed by dead organisms over time
273	8	8cd7-84f7-76a1-1ba5	a deer is a kind of animal
274	8	cfd8-43a2-1452-0ffb	United States is located in the northern hemisphere
275	8	1271-8178-87cf-045c	gravity is a kind of force
276	7	328a-8d46-1485-c3c3	a desert is a kind of environment
277	7	2b35-1f1c-4f5d-e8e9	wood is a kind of natural material
278	7	fd2d-7763-c40b-59a9	safe is the opposite of harm ; danger
279	7	299f-781c-ea28-9ce3	a container is a kind of object
280	7	c734-55b0-6cf4-c9d9	nearly all fossils are found in sedimentary rock
281	7	0514-7919-c1bf-6188	a leaf absorbs sunlight to perform photosynthesis
282	7	c22d-d40d-4d02-796e	a cell is very small
283	7	aaa1-6683-9d15-9829	removing forests means removing animal habitats
284	7	a580-1b9e-6ec9-a275	aluminum is a kind of metal
285	7	fb45-a64a-13f3-241c	a spoon is a kind of object
286	7	4478-dd94-9b15-a346	a mirror is a kind of reflective object
287	7	d047-715f-550d-3eaa	a vehicle is a kind of object
288	7	b927-5436-1d17-c396	a body of water contains water
289	7	490c-5be7-2ff7-4bf2	a container contains objects ; material ; substances
290	7	7dea-62b3-c169-a6bf	a structure is a kind of feature
291	7	48c0-261e-72f5-c101	a meter stick is used to measure distance ; height ; length
292	7	d3ac-d13c-97bb-6a5a	an event is a kind of action
293	7	aa73-331e-e970-c934	gas is a kind of state of matter
294	7	2a41-7224-fbc2-ba94	a pond is a kind of body of water
295	7	73e8-63d3-28a9-7f8e	a property of something is a feature of that something
296	7	8d39-8c01-d006-1326	a decomposer is a kind of living thing
297	7	a6a9-3e1b-7e02-ce06	the moon orbits the Earth
298	7	c73c-b25a-5409-a480	sound is a kind of air vibration
299	7	c390-00e1-36dd-2ae2	the shape of body parts is an inherited characteristic
300	7	480d-24f6-cd70-5644	feature is synonymous with characteristic
301	7	da14-61d8-ad00-8a01	recycling has a positive impact on the environment
302	7	73e5-00b0-22fd-e34e	boiling point means temperature at which a liquid boils ; above which a liquid boils
303	7	2827-1a44-52ad-a63e	shiny things ; objects reflect light
304	7	3a44-7b6a-8b5c-d15f	if an organism dies then the population of that organism will decrease
305	7	1d1c-a940-405e-dd50	marble is a kind of object ; material
306	7	55b7-97a0-0554-156d	a hot ; warm something is a source of heat
307	7	7afc-2bcd-13a5-2d35	heat means temperature increases
308	7	6b51-f1bc-8a3b-f29a	creating paper requires cutting down trees
309	7	f6ad-39ca-e8e1-b1d7	musical instruments make sound when they are played
310	7	685f-4657-44af-cee7	a magnifying glass is a kind of tool for observing small things
311	7	eefd-f260-5dc6-2267	a graduated cylinder is used to measure volume of a liquid ; of an object
312	7	b756-83bc-074d-62a2	coloration means a thing 's color
313	7	8507-acd7-51e8-31a1	oil is a source of gasoline
314	7	a81f-882c-3627-408d	a decrease is a kind of change
315	7	6759-5ee2-140f-df48	sunlight means solar energy
316	7	12c9-e2b2-25cd-65c6	white is a kind of color
317	7	e818-cf4a-2d3a-c8c6	trees are a kind of resource
318	7	ad83-d37c-9b46-94cd	a hand lens ; a magnifying lens is synonymous with a magnifying glass
319	7	8fee-0f80-9fbf-df1d	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects
320	7	f8b7-590f-a416-818a	if something releases something else then that something is the source of that something else
321	7	e6ee-3492-89ae-73d8	a part of something means a characteristic of something
322	7	ecdd-241e-c5c7-d03b	landform means surface feature ; physical feature ; land feature
323	7	372c-c52a-b8f0-bc43	hearing is used for sensing sound by animals
324	7	335b-df55-9aa4-74ac	an aquatic animal ; aquatic plant requires great amounts of water to survive ; thrive
325	7	3d48-ef4c-bf06-a0c5	the amount of daylight is greatest in the summer
326	7	00fd-04c0-5805-8b81	children ; young is synonymous with offspring
327	7	dc6a-e211-23ac-d827	friction is a kind of force
328	7	d8a3-10bb-9aea-178a	motion ; movement means moving ; to move
329	7	b545-b586-fd95-b2af	rolling is a kind of motion
330	7	8c18-c36b-a89a-60ec	oil is a nonrenewable resource
331	7	fa6f-ce79-52bc-2ba1	a delta is formed by deposition of sediment at the mouth of a river by water fanning out
332	7	794f-a751-b0d2-097f	a sunny day has lots of sunlight
333	7	6a1a-d4cc-de02-eac6	when a body of water receives more water than it can hold , a flood occurs
334	7	27d4-eb24-0630-19ed	trees are a renewable resource
335	6	b5f5-69f4-c4e2-6552	vegetation means plants
336	6	826e-4bd3-1390-0182	sugar is a kind of substance
337	6	d719-81ad-03ff-57f0	prey is a kind of food for predators
338	6	816a-0510-1046-441e	a plant cell is a kind of cell
339	6	9b37-65c8-ea17-fdb3	if something requires something else then that something else is important to that something
340	6	b5dc-c66c-4d4e-031d	a squirrel is a kind of animal
341	6	0b7b-cf23-e64f-4200	the Earth being tilted on its axis causes seasons
342	6	434b-e8da-e5c7-d52e	rock is made of minerals
343	6	0db5-f9d6-7b0f-b515	if something causes an increase in something else then that something produces that something else
344	6	bcb3-8b5b-ea6d-191c	if two things perform the same function then those two things are similar
345	6	39b8-47a9-eee1-d2d4	decomposition increases the amount of nutrients in the soil
346	6	c69c-a3e1-df55-5fc1	roots are a vehicle for absorbing water and nutrients from soil into the plant
347	6	94b7-fbe6-74cf-eba2	far means great in distance
348	6	3c3a-0eac-88e6-b000	clouds are formed by water vapor rising and condensing
349	6	e357-f8b5-992c-2d25	sometimes weathering smooths ; rounds rocks
350	6	1980-256d-b685-846c	sound is a kind of energy
351	6	70ac-58d8-10b4-1313	air is a kind of gas
352	6	b3d3-c3da-3c51-659e	a nail is a kind of object
353	6	950c-7489-5659-db44	temperature is a property of weather
354	6	99fc-c23d-a1f5-19a0	to have a function is similar to to be responsible for
355	6	1958-4336-80f2-90bd	a meter stick is a kind of tool for measuring length ; measuring distance
356	6	7309-3070-fa70-cad9	photosynthesis is a kind of process
357	6	afbd-d8f4-0c38-88c2	an insect usually has a small size
358	6	1766-eb05-3dea-6d20	if something comes from something else then that something else is a source of that something
359	6	3092-233a-f999-2512	oil is a kind of fossil fuel
360	6	8cce-a771-334c-a119	migration is when animals move themselves from a cooler climate to a warmer climate for the winter
361	6	9714-412f-bfe4-c7ab	a fox is a kind of animal
362	6	e4b0-75b1-e5ea-4189	In the food chain process a green plant has the role of producer
363	6	db49-234a-263a-3d1c	producing is similar to causing
364	6	cc92-3103-fbe1-a87a	how long something takes is a kind of measurement of time
365	6	d067-f0ea-b5ff-d34e	motion is when moves an object ; something to a direction
366	6	3bc7-7251-4566-95f7	rubber is an electrical ; electrical energy ; thermal ; thermal energy insulator
367	6	f5f4-d4dd-cf26-09d5	travel means to move
368	6	02f7-3d00-6d43-0289	revolving is a kind of motion
369	6	ca61-050e-2c77-6cda	some minerals are sometimes nutrients
370	6	72e2-6cde-7faa-4d2b	hardness is a property of a material ; an object and includes ordered values of malleable ; rigid
371	6	9130-a03b-85d4-9a10	using less of a resource means conserving that resource
372	6	9939-7d13-b72f-2674	winter has cold temperatures ; weather
373	6	7626-ebfe-aa54-61db	storing water increases the water available to organisms in a dry environment
374	6	dcd4-5303-c509-88ec	faster means an increase ; higher in speed
375	6	bc35-178c-432b-77f5	a solar panel converts sunlight into electricity
376	6	5d6a-544c-b296-832e	a lake is a kind of body of water
377	6	3740-c11d-832c-96f2	an amphibian is a kind of animal
378	6	86b0-5c6f-cd54-4d52	precipitation is a kind of weather
379	6	16b7-673f-bc0d-ed99	oxygen is a kind of gas
380	6	ce64-9ef7-3084-5195	recycling reduces ; decreases the amount of water sent to landfills
381	6	e35c-e251-2993-ac25	planets orbit stars
382	6	bb86-d5e0-0c1d-3fba	low means down
383	6	63df-d3d9-56dc-161a	warm means medium heat energy ; temperature
384	6	1632-346e-67a5-b1b8	downward means down
385	6	02eb-d26b-a00c-c559	size is a property of objects and includes ordered values of microscopic ; tiny ; small ; medium ; large
386	6	e47e-e5e2-c6d2-61ed	eyes are used for seeing by animals by sensing light
387	6	3e18-eada-4a5f-aeef	composed of means made of
